;Country_ID;city;EWP;coorX;coordY;Continent_Name;Country_Name
1598;USA;NY New;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_New.York-LaGuardia.AP.725030_TMY3/USA_NY_New.York-LaGuardia.AP.725030_TMY3.epw;-73.88;40.78;North America;United States of America
1599;USA;NY Binghamton-Edwin;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY/USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY.epw;-75.98;42.22;North America;United States of America
1600;USA;NY Westhampton-Suffolk;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Westhampton-Suffolk.County.AP.744865_TMY3/USA_NY_Westhampton-Suffolk.County.AP.744865_TMY3.epw;-72.63;40.85;North America;United States of America
1601;USA;NY Buffalo;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Buffalo.725280_TMY2/USA_NY_Buffalo.725280_TMY2.epw;-78.73;42.93;North America;United States of America
1602;USA;NY New;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_New.York.City-Central.Park.94728_TMY/USA_NY_New.York.City-Central.Park.94728_TMY.epw;-73.96;40.78;North America;United States of America
1603;USA;NY Rochester-Greater;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY/USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY.epw;-77.67;43.12;North America;United States of America
1604;USA;NY Binghamton;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Binghamton.725150_TMY2/USA_NY_Binghamton.725150_TMY2.epw;-75.98;42.22;North America;United States of America
1605;USA;NY Rochester;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Rochester.725290_TMY2/USA_NY_Rochester.725290_TMY2.epw;-77.67;43.12;North America;United States of America
1606;USA;NY Massena;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Massena.AP.726223_TMY/USA_NY_Massena.AP.726223_TMY.epw;-74.85;44.93;North America;United States of America
1607;USA;NY Glens;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Glens.Falls-Bennett.Mem.AP.725185_TMY3/USA_NY_Glens.Falls-Bennett.Mem.AP.725185_TMY3.epw;-73.62;43.35;North America;United States of America
1608;USA;NY Saranac;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Saranac.Lake-Adirondack.Rgnl.AP.726228_TMY3/USA_NY_Saranac.Lake-Adirondack.Rgnl.AP.726228_TMY3.epw;-74.2;44.38;North America;United States of America
1609;USA;NY Albany;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Albany.County.AP.725180_TMY3/USA_NY_Albany.County.AP.725180_TMY3.epw;-73.8;42.75;North America;United States of America
1610;USA;NY Utica-Oneida;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Utica-Oneida.County.AP.725197_TMY3/USA_NY_Utica-Oneida.County.AP.725197_TMY3.epw;-75.38;43.15;North America;United States of America
1611;USA;NY New;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_New.York-LaGuardia.AP.725030_TMY/USA_NY_New.York-LaGuardia.AP.725030_TMY.epw;-73.88;40.78;North America;United States of America
1612;USA;NY Massena;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Massena.726223_TMY2/USA_NY_Massena.726223_TMY2.epw;-74.85;44.93;North America;United States of America
1613;USA;NY White;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_White.Plains-Westchester.County.AP.725037_TMY3/USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw;-73.72;41.07;North America;United States of America
1614;USA;NY Monticello;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Monticello.AWOS.725145_TMY3/USA_NY_Monticello.AWOS.725145_TMY3.epw;-74.8;41.7;North America;United States of America
